"Name","has.star","Title.type","Genre","Run.time","Top.cast","MOVIEmeter","IMDb.Rating","Production.Co.","Year","numvotes","Country","Language","Rating","Genres"
"Funny Games",0,"Movie","Crime, Drama, Thriller",108,"Susanne Lothar, Ulrich Mühe, Arno Frisch",3877,7.6,"Filmfonds Wien",1997,1662036,"GE","English",1,"Horror/Thriller"
"Gangster No. 1",0,"Movie","Crime, Drama, Thriller",103,"Malcolm McDowell, David Thewlis, Paul Bettany",16108,6.8,"FilmFour",2000,696276,"UK","English",2,"Drama"
"Gentlemen Prefer Blondes",1,"Movie","Comedy, Musical, Romance",91,"Jane Russell, Marilyn Monroe, Charles Coburn",9626,7.2,"Twentieth Century Fox",1953,1681967,"US","English",4,"Light  Romance"
"Ghost in the Shell",0,"Movie","Animation, Action, Crime",83,"Atsuko Tanaka, Akio Ôtsuka, Kôichi Yamadera",3476,8,"Kôdansha",1995,2097030,"JA","Japanese",2,"Action"
"Girlhood",0,"Movie","Drama",113,"Karidja Touré, Assa Sylla, Lindsay Karamoh",19389,6.9,"Hold Up Films",2014,928119,"FR","French",1,"Drama"
"Goodfellas",1,"Movie","Biography, Crime, Drama",146,"Robert De Niro, Ray Liotta, Joe Pesci",467,8.7,"Warner Bros.",1990,1035237,"US","English",4,"Drama"
"Green Street Hooligans",0,"Movie","Crime, Drama, Sport",109,"Elijah Wood, Charlie Hunnam, Claire Forlani",4355,7.5,"Baker Street",2005,1502958,"UK","English",3,"Light"
"Gregory's Girl",0,"Movie","Comedy, Drama, Romance",91,"John Gordon Sinclair, Dee Hepburn, Jake D'Arcy",3655,7.1,"Lake Films",1980,410295,"UK","English",4,"Romance"
"Gummo",0,"Movie","Comedy, Drama",89,"Jacob Sewell, Nick Sutton, Lara Tosh",2788,6.7,"Fine Line Features",1997,1541404,"US","English",1,"Drama"
"Gun Crazy",0,"Movie","Crime, Drama, Film-Noir",87,"Peggy Cummins, John Dall, Berry Kroeger",20152,7.6,"King Brothers Productions",1950,1048984,"US","English",3,"Horror/Thriller"
"Hardcore",0,"Movie","Crime, Drama",108,"George C. Scott, Peter Boyle, Season Hubley",9314,7.1,"A-Team",1979,527731,"US","English",2,"Drama"
"He Died with a Felafel in His Hand",0,"Movie","Comedy, Romance",107,"Emily Hamilton, Sophie Lee, Alex Menglet",48682,7.1,"Notorious Films Pty. Ltd.",2001,611643,"AU","English",2,"Romance"
"Her",0,"Movie","Drama, Romance, Sci-Fi",126,"Joaquin Phoenix, Lynn Adrianna Freedman, Lisa Renee Pitts",951,8,"Annapurna Pictures",2013,306102,"US","English",2,"Romance"
"High Fidelity",0,"Movie","Comedy, Drama, Music",113,"Iben Hjejle, Todd Louiso, Jack Black",2340,7.5,"Touchstone Pictures",2000,1204990,"US","English",2,"Light"
"His Girl Friday",1,"Movie","Comedy, Drama, Romance",92,"Cary Grant, Rosalind Russell, Ralph Bellamy",11769,7.9,"Columbia Pictures",1940,1206558,"US","English",1,"Romance"
"Hot Fuzz",0,"Movie","Action, Comedy, Mystery",121,"Martin Freeman, Bill Nighy, Robert Popper",963,7.8,"Universal Pictures",2007,204065,"UK","English",3,"Action"
"I Vitelloni",0,"Movie","Comedy, Drama",109,"Franco Interlenghi, Alberto Sordi, Franco Fabrizi",15385,7.9,"Cité Films",1953,315977,"IT","Italian",4,"Drama"
"In a Lonely Place",0,"Movie","Drama, Film-Noir, Mystery",94,"Gloria Grahame, Frank Lovejoy, Carl Benton Reid",11123,8,"Santana Pictures Corporation",1950,910570,"US","English",2,"Horror/Thriller"
"In Bruges",0,"Movie","Comedy, Crime, Drama",107,"Elizabeth Berrington, Rudy Blomme, Olivier Bonjour",2368,7.9,"Focus Features",2008,1534763,"UK","English",4,"Light"
"In the Mood for Love",0,"Movie","Drama, Romance",98,"Maggie Cheung, Tony Chiu-Wai Leung, Tung Cho 'Joe' Cheung",1882,8.1,"Block 2 Pictures",2000,1138051,"HK","Cantonese",3,"Romance"
"Inception",1,"Movie","Action, Adventure, Sci-Fi",148,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",308,8.8,"Warner Bros.",2010,221699,"US","English",4,"Action"
"Inglourious Basterds",1,"Movie","Adventure, Drama, War",153,"Brad Pitt, Mélanie Laurent, Christoph Waltz",316,8.3,"Universal Pictures",2009,166540,"US","English",3,"Drama"
"Intermission",0,"Movie","Comedy, Crime, Drama",105,"Colin Farrell, Kerry Condon, Johnny Thompson",21071,6.8,"British Broadcasting Corporation (BBC)",2003,145310,"US","English",3,"Light"
"Interstellar",1,"Movie","Adventure, Drama, Sci-Fi",169,"Ellen Burstyn, Matthew McConaughey, Mackenzie Foy",283,8.6,"Paramount Pictures",2014,302312,"US","English",2,"Drama"
"It's a Wonderful Life",1,"Movie","Drama, Family, Fantasy",130,"James Stewart, Donna Reed, Lionel Barrymore",2369,8.6,"Liberty Films (II)",1946,1287120,"US","English",3,"Light"
"Johnny Guitar",0,"Movie","Drama, Western",110,"Joan Crawford, Sterling Hayden, Mercedes McCambridge",12982,7.7,"Republic Pictures (I)",1954,929771,"US","English",3,"Action"
"Julieta",0,"Movie","Drama, Mystery, Romance",99,"Emma Suárez, Adriana Ugarte, Daniel Grao",8065,7.1,"Echo Lake Entertainment",2016,752018,"SP","Spanish",3,"Romance"
